name,x,y,shape,size,size2,label.cex,label,color,tooltip,nodeX,nodeY,genesList
N-hsa04210-5,1283,422,rectangle,15,5,0.62,ATM,cyan,<a target=_blank href=http://www.genome.jp/dbget-bin/www_bget?hsa:472>472</a> (ATM),1283,422,472
N-hsa04210-6,1283,375,rectangle,15,5,0.62,TP53,cyan,<a target=_blank href=http://www.genome.jp/dbget-bin/www_bget?hsa:7157>7157</a> (TP53),1283,375,7157
N-hsa04210-9,665,337,rectangle,15,5,0.62,BCL2,cyan,<a target=_blank href=http://www.genome.jp/dbget-bin/www_bget?hsa:596>596</a> (BCL2),665,337,596
N-hsa04210-12,1102,583,rectangle,15,5,0.62,CASP9,cyan,<a target=_blank href=http://www.genome.jp/dbget-bin/www_bget?hsa:842>842</a> (CASP9),1102,583,842
N-hsa04210-13,987,619,rectangle,15,5,0.62,CASP7,cyan,<a target=_blank href=http://www.genome.jp/dbget-bin/www_bget?hsa:840>840</a> (CASP7),987,619,840
N-hsa04210-14,987,642,rectangle,15,5,0.62,CASP3,cyan,<a target=_blank href=http://www.genome.jp/dbget-bin/www_bget?hsa:836>836</a> (CASP3),987,642,836
N-hsa04210-15,596,232,rectangle,15,5,0.62,BAD,cyan,<a target=_blank href=http://www.genome.jp/dbget-bin/www_bget?hsa:572>572</a> (BAD),596,232,572
N-hsa04210-16,832,68,rectangle,15,5,0.62,NFKB1,cyan,<a target=_blank href=http://www.genome.jp/dbget-bin/www_bget?hsa:4790>4790</a> (NFKB1)<br><a target=_blank href=http://www.genome.jp/dbget-bin/www_bget?hsa:5970>5970</a> (RELA),832,68,4790;5970
N-hsa04210-17,891,582,rectangle,15,5,0.62,BIRC2*,cyan,<a target=_blank href=http://www.genome.jp/dbget-bin/www_bget?hsa:329>329</a> (BIRC2)<br><a target=_blank href=http://www.genome.jp/dbget-bin/www_bget?hsa:330>330</a> (BIRC3)<br><a target=_blank href=http://www.genome.jp/dbget-bin/www_bget?hsa:331>331</a> (XIAP)<br><a target=_blank href=http://www.genome.jp/dbget-bin/www_bget?hsa:332>332</a> (BIRC5),891,582,329;330;331;332
N-hsa04210-18,987,675,rectangle,15,5,0.62,CASP6,cyan,<a target=_blank href=http://www.genome.jp/dbget-bin/www_bget?hsa:839>839</a> (CASP6),987,675,839
N-hsa04210-19,832,100,rectangle,15,5,0.62,NFKBIA,cyan,<a target=_blank href=http://www.genome.jp/dbget-bin/www_bget?hsa:4792>4792</a> (NFKBIA),832,100,4792
N-hsa04210-23,784,643,rectangle,15,5,0.62,CASP8,cyan,<a target=_blank href=http://www.genome.jp/dbget-bin/www_bget?hsa:841>841</a> (CASP8),784,643,841
N-hsa04210-25,815,797,rectangle,15,5,0.62,CAPN1,cyan,<a target=_blank href=http://www.genome.jp/dbget-bin/www_bget?hsa:823>823</a> (CAPN1)<br><a target=_blank href=http://www.genome.jp/dbget-bin/www_bget?hsa:824>824</a> (CAPN2),815,797,823;824
N-hsa04210-26,545,45,rectangle,15,5,0.62,AKT3,cyan,<a target=_blank href=http://www.genome.jp/dbget-bin/www_bget?hsa:10000>10000</a> (AKT3)<br><a target=_blank href=http://www.genome.jp/dbget-bin/www_bget?hsa:207>207</a> (AKT1)<br><a target=_blank href=http://www.genome.jp/dbget-bin/www_bget?hsa:208>208</a> (AKT2),545,45,10000;207;208
N-hsa04210-27,330,234,rectangle,15,5,0.62,MAP3K14,cyan,<a target=_blank href=http://www.genome.jp/dbget-bin/www_bget?hsa:9020>9020</a> (MAP3K14),330,234,9020
N-hsa04210-28,742,100,rectangle,15,5,0.62,CHUK,cyan,<a target=_blank href=http://www.genome.jp/dbget-bin/www_bget?hsa:1147>1147</a> (CHUK)<br><a target=_blank href=http://www.genome.jp/dbget-bin/www_bget?hsa:3551>3551</a> (IKBKB)<br><a target=_blank href=http://www.genome.jp/dbget-bin/www_bget?hsa:8517>8517</a> (IKBKG),742,100,1147;3551;8517
N-hsa04210-29,525,672,rectangle,15,5,0.62,CFLAR,cyan,<a target=_blank href=http://www.genome.jp/dbget-bin/www_bget?hsa:8837>8837</a> (CFLAR),525,672,8837
