from,to,arrow.size,relation
N-hsa04210-5,N-hsa04210-6,0.2,activation
N-hsa04210-6,N-hsa04210-57,0.2,activation
N-hsa04210-6,N-hsa04210-56,0.2,activation
N-hsa04210-6,N-hsa04210-102,0.2,activation
N-hsa04210-6,N-hsa04210-58,0.2,activation
N-hsa04210-6,N-hsa04210-61,0.2,activation
N-hsa04210-6,N-hsa04210-62,0.2,activation
N-hsa04210-6,N-hsa04210-63,0.2,activation
N-hsa04210-6,N-hsa04210-64,0.2,activation
N-hsa04210-6,N-hsa04210-60,0.2,activation
N-hsa04210-6,N-hsa04210-59,0.2,activation
N-hsa04210-9,N-hsa04210-74,0.2,inhibition
N-hsa04210-9,N-hsa04210-75,0.2,inhibition
N-hsa04210-12,N-hsa04210-52,0.2,inhibition
N-hsa04210-12,N-hsa04210-18,0.2,activation
N-hsa04210-12,N-hsa04210-14,0.2,activation
N-hsa04210-12,N-hsa04210-13,0.2,activation
N-hsa04210-13,N-hsa04210-52,0.2,inhibition
N-hsa04210-13,N-hsa04210-105,0.2,inhibition
N-hsa04210-14,N-hsa04210-50,0.2,inhibition
N-hsa04210-14,N-hsa04210-52,0.2,inhibition
N-hsa04210-14,N-hsa04210-4,0.2,inhibition
N-hsa04210-14,N-hsa04210-105,0.2,inhibition
N-hsa04210-15,N-hsa04210-9,0.2,inhibition
N-hsa04210-16,N-hsa04210-69,0.2,activation
N-hsa04210-16,N-hsa04210-70,0.2,activation
N-hsa04210-16,N-hsa04210-10,0.2,activation
N-hsa04210-16,N-hsa04210-71,0.2,activation
N-hsa04210-16,N-hsa04210-73,0.2,activation
N-hsa04210-16,N-hsa04210-3,0.2,activation
N-hsa04210-16,N-hsa04210-72,0.2,activation
N-hsa04210-17,N-hsa04210-12,0.2,inhibition
N-hsa04210-17,N-hsa04210-14,0.2,inhibition
N-hsa04210-17,N-hsa04210-13,0.2,inhibition
N-hsa04210-18,N-hsa04210-51,0.2,inhibition
N-hsa04210-18,N-hsa04210-105,0.2,inhibition
N-hsa04210-19,N-hsa04210-16,0.2,activation
N-hsa04210-23,N-hsa04210-18,0.2,activation
N-hsa04210-23,N-hsa04210-14,0.2,activation
N-hsa04210-23,N-hsa04210-13,0.2,activation
N-hsa04210-25,N-hsa04210-67,0.2,activation
N-hsa04210-26,N-hsa04210-15,0.2,inhibition
N-hsa04210-26,N-hsa04210-28,0.2,activation
N-hsa04210-27,N-hsa04210-28,0.2,activation
N-hsa04210-28,N-hsa04210-19,0.2,activation
N-hsa04210-29,N-hsa04210-23,0.2,inhibition
N-hsa04210-29,N-hsa04210-24,0.2,inhibition
N-hsa04210-30,N-hsa04210-98,0.2,activation
N-hsa04210-31,N-hsa04210-80,0.2,activation
N-hsa04210-31,N-hsa04210-27,0.2,activation
N-hsa04210-36,N-hsa04210-23,0.2,activation
N-hsa04210-36,N-hsa04210-24,0.2,activation
N-hsa04210-37,N-hsa04210-115,0.2,activation
N-hsa04210-37,N-hsa04210-30,0.2,activation
N-hsa04210-38,N-hsa04210-30,0.2,activation
N-hsa04210-38,N-hsa04210-115,0.2,activation
N-hsa04210-39,N-hsa04210-34 35,0.2,activation
N-hsa04210-39,N-hsa04210-31 32 33,0.2,activation
N-hsa04210-40,N-hsa04210-36,0.2,activation
N-hsa04210-41,N-hsa04210-36,0.2,activation
N-hsa04210-41,N-hsa04210-77,0.2,activation
N-hsa04210-42,N-hsa04210-37,0.2,activation
N-hsa04210-43,N-hsa04210-38,0.2,activation
N-hsa04210-44,N-hsa04210-39,0.2,activation
N-hsa04210-46,N-hsa04210-40,0.2,activation
N-hsa04210-47,N-hsa04210-41,0.2,activation
N-hsa04210-53,N-hsa04210-17,0.2,inhibition
N-hsa04210-54,N-hsa04210-17,0.2,inhibition
N-hsa04210-55,N-hsa04210-17,0.2,inhibition
N-hsa04210-67,N-hsa04210-14,0.2,activation
N-hsa04210-67,N-hsa04210-13,0.2,activation
N-hsa04210-76,N-hsa04210-74,0.2,inhibition
N-hsa04210-76,N-hsa04210-75,0.2,inhibition
N-hsa04210-77,N-hsa04210-78,0.2,activation
N-hsa04210-78,N-hsa04210-79,0.2,activation
N-hsa04210-79,N-hsa04210-76,0.2,inhibition
N-hsa04210-79,N-hsa04210-9,0.2,inhibition
N-hsa04210-79,N-hsa04210-99,0.2,activation
N-hsa04210-79,N-hsa04210-15,0.2,activation
N-hsa04210-79,N-hsa04210-81,0.2,activation
N-hsa04210-79,N-hsa04210-82,0.2,activation
N-hsa04210-80,N-hsa04210-78,0.2,activation
N-hsa04210-81,N-hsa04210-83,0.2,activation
N-hsa04210-81,N-hsa04210-84,0.2,activation
N-hsa04210-81,N-hsa04210-85,0.2,activation
N-hsa04210-81,N-hsa04210-86,0.2,activation
N-hsa04210-81,N-hsa04210-114,0.2,activation
N-hsa04210-82,N-hsa04210-83,0.2,activation
N-hsa04210-82,N-hsa04210-84,0.2,activation
N-hsa04210-82,N-hsa04210-85,0.2,activation
N-hsa04210-82,N-hsa04210-86,0.2,activation
N-hsa04210-82,N-hsa04210-114,0.2,activation
N-hsa04210-87,N-hsa04210-9,0.2,inhibition
N-hsa04210-87,N-hsa04210-76,0.2,inhibition
N-hsa04210-88,N-hsa04210-9,0.2,inhibition
N-hsa04210-88,N-hsa04210-76,0.2,inhibition
N-hsa04210-89,N-hsa04210-76,0.2,inhibition
N-hsa04210-89,N-hsa04210-9,0.2,inhibition
N-hsa04210-89,N-hsa04210-17,0.2,inhibition
N-hsa04210-89,N-hsa04210-22,0.2,activation
N-hsa04210-90,N-hsa04210-25,0.2,activation
N-hsa04210-91,N-hsa04210-76,0.2,inhibition
N-hsa04210-91,N-hsa04210-9,0.2,inhibition
N-hsa04210-92,N-hsa04210-93,0.2,activation
N-hsa04210-93,N-hsa04210-94,0.2,activation
N-hsa04210-94,N-hsa04210-91,0.2,activation
N-hsa04210-97,N-hsa04210-26,0.2,activation
N-hsa04210-98,N-hsa04210-97,0.2,activation
N-hsa04210-103,N-hsa04210-106,0.2,inhibition
N-hsa04210-103,N-hsa04210-107,0.2,inhibition
N-hsa04210-103,N-hsa04210-51,0.2,inhibition
N-hsa04210-103,N-hsa04210-52,0.2,inhibition
N-hsa04210-103,N-hsa04210-4,0.2,inhibition
N-hsa04210-103,N-hsa04210-14,0.2,activation
N-hsa04210-103,N-hsa04210-13,0.2,activation
N-hsa04210-103,N-hsa04210-23,0.2,activation
N-hsa04210-103,N-hsa04210-22,0.2,activation
N-hsa04210-109,N-hsa04210-76,0.2,inhibition
N-hsa04210-109,N-hsa04210-9,0.2,inhibition
N-hsa04210-109,N-hsa04210-74,0.2,activation
N-hsa04210-110,N-hsa04210-109,0.2,inhibition
N-hsa04210-115,N-hsa04210-116,0.2,activation
N-hsa04210-116,N-hsa04210-117,0.2,activation
N-hsa04210-117,N-hsa04210-118,0.2,activation
N-hsa04210-118,N-hsa04210-119,0.2,activation
N-hsa04210-34 35,N-hsa04210-23,0.2,activation
N-hsa04210-34 35,N-hsa04210-24,0.2,activation
N-hsa04210-65 66,N-hsa04210-78,0.2,activation
N-hsa04210-100 101,N-hsa04210-22,0.2,activation
N-hsa04210-20 21,N-hsa04210-12,0.2,activation
N-hsa04210-22,N-hsa04210-74,0.2,activation
N-hsa04210-22,N-hsa04210-75,0.2,activation
N-hsa04210-23,N-hsa04210-22,0.2,activation
N-hsa04210-24,N-hsa04210-22,0.2,activation
N-hsa04210-24,N-hsa04210-13,0.2,activation
N-hsa04210-24,N-hsa04210-14,0.2,activation
N-hsa04210-31 32 33,N-hsa04210-31,0.2,activation
N-hsa04210-57,N-hsa04210-57_func,0.2,activation
N-hsa04210-56,N-hsa04210-56_func,0.2,activation
N-hsa04210-102,N-hsa04210-102_func,0.2,activation
N-hsa04210-61,N-hsa04210-61_func,0.2,activation
N-hsa04210-62,N-hsa04210-62_func,0.2,activation
N-hsa04210-63,N-hsa04210-63_func,0.2,activation
N-hsa04210-64,N-hsa04210-64_func,0.2,activation
N-hsa04210-60,N-hsa04210-60_func,0.2,activation
N-hsa04210-59,N-hsa04210-59_func,0.2,activation
N-hsa04210-74,N-hsa04210-74_func,0.2,activation
N-hsa04210-75,N-hsa04210-75_func,0.2,activation
N-hsa04210-52,N-hsa04210-52_func,0.2,activation
N-hsa04210-50,N-hsa04210-50_func,0.2,activation
N-hsa04210-4,N-hsa04210-4_func,0.2,activation
N-hsa04210-70,N-hsa04210-70_func,0.2,activation
N-hsa04210-10,N-hsa04210-10_func,0.2,activation
N-hsa04210-71,N-hsa04210-71_func,0.2,activation
N-hsa04210-73,N-hsa04210-73_func,0.2,activation
N-hsa04210-3,N-hsa04210-3_func,0.2,activation
N-hsa04210-72,N-hsa04210-72_func,0.2,activation
N-hsa04210-83,N-hsa04210-83_func,0.2,activation
N-hsa04210-84,N-hsa04210-84_func,0.2,activation
N-hsa04210-85,N-hsa04210-85_func,0.2,activation
N-hsa04210-86,N-hsa04210-86_func,0.2,activation
N-hsa04210-114,N-hsa04210-114_func,0.2,activation
N-hsa04210-107,N-hsa04210-107_func,0.2,activation
N-hsa04210-119,N-hsa04210-119_func,0.2,activation
